Angle_rad Current Error_Current
2.36058219e+00 3.41594620e-05 4.96552478e-08
2.37813299e+00 3.34559786e-05 4.16884573e-08
2.39568378e+00 3.26339392e-05 4.36519723e-08
2.41323458e+00 3.18839645e-05 4.55732401e-08
2.43078538e+00 3.10854784e-05 4.14166194e-08
2.44833617e+00 3.03028707e-05 3.57514903e-08
2.46588697e+00 2.94697627e-05 3.68308941e-08
2.48343777e+00 2.86172913e-05 4.00175959e-08
2.50098857e+00 2.77562018e-05 4.17471488e-08
2.51853936e+00 2.68656172e-05 3.89163891e-08
2.53609016e+00 2.59996632e-05 3.75190281e-08
2.55364096e+00 2.51091851e-05 3.10461793e-08
2.57119175e+00 2.42937934e-05 5.12796439e-08
2.58874255e+00 2.33627081e-05 4.41793783e-08
2.60629335e+00 2.23002791e-05 3.43673637e-08
2.62384414e+00 2.15169805e-05 2.88338947e-08
2.64139494e+00 2.05753123e-05 2.74133133e-08
2.65894574e+00 1.94910885e-05 2.67639628e-08
2.67649653e+00 1.85796393e-05 3.19412320e-08
2.69404733e+00 1.76451763e-05 2.67645909e-08
2.71159813e+00 1.67156460e-05 2.93361773e-08
2.72914893e+00 1.57498049e-05 3.29901049e-08
2.74669972e+00 1.48076022e-05 2.14502317e-08
2.76425052e+00 1.38802611e-05 3.02039980e-08
2.78180132e+00 1.29732025e-05 2.58540919e-08
2.79935211e+00 1.20908455e-05 2.79542548e-08
2.81690291e+00 1.12586038e-05 2.17526224e-08
2.83445371e+00 1.04661233e-05 2.36656752e-08
2.85200450e+00 9.75531373e-06 2.44920760e-08
2.86955530e+00 9.04389158e-06 1.89012982e-08
2.88710610e+00 8.45999858e-06 1.92311933e-08
2.90465689e+00 7.88740503e-06 2.39000820e-08
2.92220769e+00 7.38512387e-06 2.00392390e-08
2.93975849e+00 7.00221563e-06 1.61611859e-08
2.95730929e+00 6.64823491e-06 1.47603643e-08
2.97486008e+00 6.32238483e-06 1.29177582e-08
2.99241088e+00 5.92407042e-06 2.00945926e-08
3.00996168e+00 5.49882200e-06 1.42408697e-08
3.02751247e+00 5.06487696e-06 1.68369959e-08
3.04506327e+00 4.57756072e-06 1.02522216e-08
3.06261407e+00 4.14425873e-06 1.07049620e-08
3.08016486e+00 3.85260356e-06 9.47459929e-09
3.09771566e+00 3.97144137e-06 8.93050660e-09
3.11526646e+00 4.98964760e-06 9.44825066e-09
