Polar_Angle_rad PDF
2.939758488694359073e+00 1.111141475914344777e-03
2.957309285641788410e+00 1.580359495128400666e-03
2.974860082589217303e+00 1.185386794088634337e-03
2.992410879536646195e+00 1.123555085372157951e-03
3.009961676484075532e+00 1.139555507315260976e-03
3.027512473431504425e+00 9.509878221218497985e-04
3.045063270378933318e+00 6.834888568748110141e-04
3.062614067326362211e+00 6.648976786267225391e-04
3.080164864273791103e+00 5.243694872500290682e-04
3.097715661221220440e+00 5.094068517467796684e-04
3.115266458168649333e+00 4.256738954739001653e-04
3.132817255116078670e+00 1.771814900265790069e-02
