Energy_eV PDF
1.096785680715704075e+03 6.366264752698402142e-07
1.127575990624924543e+03 7.581748024099278096e-07
1.159230683796047742e+03 7.742476068114635315e-07
1.191774026253860484e+03 6.733284441359942384e-07
1.225230965248696748e+03 9.440686113631512411e-07
1.259627148380631070e+03 6.237664490120039551e-07
1.294988943260555061e+03 8.522352107373652641e-07
1.331343457723203528e+03 9.272992995201084020e-07
1.368718560607625022e+03 1.127579753825458747e-06
1.407142903121023437e+03 8.374328830738574392e-07
1.446645940802353380e+03 9.655396591980164865e-07
1.487257956102509752e+03 1.082144322729448080e-06
1.529010081598410579e+03 1.092817038273681761e-06
1.571934323858773269e+03 1.419291413774615643e-06
1.616063587979880367e+03 1.083182474202056550e-06
1.661431702810150000e+03 1.305448519060486366e-06
1.708073446882834105e+03 1.269814350559804991e-06
1.756024575076733299e+03 1.723453731551966769e-06
1.805321846025363357e+03 1.090816934433641712e-06
1.856003050295584217e+03 1.481155335961293643e-06
1.908107039357299982e+03 1.481250533355092233e-06
1.961673755366427031e+03 1.989773744521465708e-06
2.016744261783963793e+03 1.673273954649541813e-06
2.073360774854638294e+03 1.666844966397838170e-06
2.131566695969267130e+03 1.983860120905666199e-06
2.191406644935630538e+03 1.974915465272526093e-06
2.252926494183355317e+03 2.090131985713492688e-06
2.316173403929050892e+03 2.173528454119778623e-06
2.381195858328646864e+03 2.215826876872236525e-06
2.448043702644636596e+03 2.208455875162067720e-06
2.516768181456720868e+03 2.971114937579341839e-06
2.587421977945155049e+03 2.419505336513995858e-06
2.660059254276908177e+03 2.639268618160279556e-06
2.734735693125587204e+03 2.769564633722271827e-06
2.811508540356958292e+03 3.179962483018654215e-06
2.890436648912789678e+03 2.766247804803065227e-06
2.971580523926654678e+03 3.200315698483822326e-06
3.055002369106285641e+03 3.477624591721572027e-06
3.140766134418029651e+03 3.421389204816835572e-06
3.228937565109950356e+03 3.517913056622736665e-06
3.319584252111170827e+03 3.366822665786469298e-06
3.412775683846101856e+03 4.288955127496356540e-06
3.508583299503247417e+03 4.279628113516400715e-06
