------ SIMULAZIONE DEL 24/03/2026 ALLE ORE 18:59 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2.02e+17 fotoni/s
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 120 batches, 500000 particles, 10 inactive batches
================================

Pres [Pa]    PITCH [cm]   PERC_water   Arricch_MAX     Arricch_min     T_WATER [K]  T_FUEL [K]   K_AUTO       STD_DEV     K_MAX        STD_DEV     Compatibilità
101325.0    3.551       0.15        9.00           9              350          600          1.03929      0.00015     0.97547     0.00020     254.44300   
101325.0    3.551       0.15        9.00           9              350          600          1.03965      0.00015     0.97547     0.00020     258.80156   
101325.0    3.551       0.15        9.00           9              350          600          1.03929      0.00015     0.97547     0.00020     257.98913   
101325.0    3.551       0.15        9.00           9              350          600          1.03966      0.00012     0.97547     0.00020     273.36492   
101325.0    3.551       0.15        9.00           9              350          600          1.03899      0.00013     0.97547     0.00020     263.75893   
101325.0    3.551       0.15        9.00           9              350          600          1.03933      0.00013     0.97547     0.00020     267.18159   
101325.0    3.551       0.15        9.00           9              350          600          1.03926      0.00014     0.97547     0.00020     260.37194   
101325.0    3.551       0.15        9.00           9              350          600          1.03965      0.00013     0.97547     0.00020     267.35049   
101325.0    3.551       0.15        9.00           9              350          600          1.03954      0.00014     0.97547     0.00020     262.11935   
101325.0    3.551       0.15        15.00          10             350          600          1.07036      0.00014     0.97547     0.00020     392.76541   
101325.0    3.551       0.15        12.50          10             350          600          1.06170      0.00015     0.97547     0.00020     343.54676   
101325.0    3.551       0.15        11.25          10             350          600          1.05697      0.00016     0.97547     0.00020     315.83064   
101325.0    3.551       0.15        10.63          10             350          600          1.05417      0.00012     0.97547     0.00020     335.47788   
101325.0    3.551       0.15        10.31          10             350          600          1.05311      0.00015     0.97547     0.00020     310.67076   
101325.0    3.551       0.15        10.16          10             350          600          1.05219      0.00013     0.97547     0.00020     318.76197   
101325.0    3.551       0.15        10.08          10             350          600          1.05198      0.00015     0.97547     0.00020     305.98214   
101325.0    3.551       0.15        10.04          10             350          600          1.05182      0.00014     0.97547     0.00020     310.63442   
101325.0    3.551       0.15        10.02          10             350          600          1.05178      0.00014     0.97547     0.00020     313.73486   
101325.0    3.551       0.15        10.01          10             350          600          1.05178      0.00016     0.97547     0.00020     299.90483   
