Polar_Angle_rad PDF
2.658945737535495013e+00 0.000000000000000000e+00
2.676496534482923906e+00 0.000000000000000000e+00
2.694047331430353243e+00 0.000000000000000000e+00
2.711598128377782135e+00 0.000000000000000000e+00
2.729148925325211028e+00 0.000000000000000000e+00
2.746699722272640365e+00 0.000000000000000000e+00
2.764250519220069258e+00 0.000000000000000000e+00
2.781801316167498150e+00 0.000000000000000000e+00
2.799352113114927043e+00 0.000000000000000000e+00
2.816902910062355936e+00 0.000000000000000000e+00
2.834453707009785273e+00 0.000000000000000000e+00
2.852004503957214165e+00 0.000000000000000000e+00
2.869555300904643502e+00 0.000000000000000000e+00
2.887106097852072395e+00 0.000000000000000000e+00
2.904656894799501288e+00 0.000000000000000000e+00
2.922207691746930180e+00 0.000000000000000000e+00
2.939758488694359073e+00 0.000000000000000000e+00
2.957309285641788410e+00 0.000000000000000000e+00
2.974860082589217303e+00 0.000000000000000000e+00
2.992410879536646195e+00 0.000000000000000000e+00
3.009961676484075532e+00 0.000000000000000000e+00
3.027512473431504425e+00 0.000000000000000000e+00
3.045063270378933318e+00 0.000000000000000000e+00
3.062614067326362211e+00 -1.216394481045614317e-06
3.080164864273791103e+00 -1.135204369796786592e-05
3.097715661221220440e+00 -1.461697044868088169e-04
3.115266458168649333e+00 -7.718743133627528228e-04
3.132817255116078670e+00 -3.336740622346320850e-02
